W	Tr
835.0000	2.88439
836.0000	2.94334
837.0000	3.00581
838.0000	3.08024
839.0000	3.16466
840.0000	3.26327
841.0000	3.37500
842.0000	3.49584
843.0000	3.63992
844.0000	3.81762
845.0000	4.01923
846.0000	4.25901
847.0000	4.51529
848.0000	4.84436
849.0000	5.25872
850.0000	5.74146
851.0000	6.32609
852.0000	7.05977
853.0000	8.01203
854.0000	9.38809
855.0000	10.85820
856.0000	12.85290
857.0000	15.58090
858.0000	19.23150
859.0000	23.86080
860.0000	30.04760
861.0000	36.86260
862.0000	44.59840
863.0000	50.48580
864.0000	54.31520
865.0000	56.36020
866.0000	58.18740
867.0000	61.31150
868.0000	61.09930
869.0000	51.47030
870.0000	37.05770
871.0000	25.06740
872.0000	18.37520
873.0000	14.14550
874.0000	11.58230
875.0000	9.81585
876.0000	8.47618
877.0000	7.53112
878.0000	6.76220
879.0000	6.21127
880.0000	5.73873
881.0000	5.38461
882.0000	5.13493
883.0000	4.91689
884.0000	4.77731
885.0000	4.67178
886.0000	4.61602
887.0000	4.60536
888.0000	4.62274
889.0000	4.67898
890.0000	4.78048
891.0000	4.90870
892.0000	5.08035
893.0000	5.31416
894.0000	5.61837
895.0000	5.95595
896.0000	6.38768
897.0000	6.90713
898.0000	7.54976
899.0000	8.28641
900.0000	9.15287
901.0000	10.36160
902.0000	11.79440
903.0000	13.43330
904.0000	15.65270
905.0000	18.09710
906.0000	21.43830
907.0000	25.49400
908.0000	29.98250
909.0000	35.76330
910.0000	41.54650
911.0000	46.80360
912.0000	51.85030
913.0000	55.84240
914.0000	58.74990
915.0000	61.36220
916.0000	64.77810
917.0000	69.09030
918.0000	72.58740
919.0000	72.32630
920.0000	66.27960
921.0000	57.06610
922.0000	47.67970
923.0000	40.68930
924.0000	35.29620
925.0000	31.50670
926.0000	28.79410
927.0000	26.86490
928.0000	25.61280
929.0000	24.70930
930.0000	24.17740
931.0000	23.96300
932.0000	24.04500
933.0000	24.38660
934.0000	25.00260
935.0000	25.88050
936.0000	26.94020
937.0000	28.36170
938.0000	30.09770
939.0000	32.25060
940.0000	34.66200
941.0000	37.48600
942.0000	41.01450
943.0000	44.78470
944.0000	49.03960
945.0000	53.81340
946.0000	59.05520
947.0000	64.28200
948.0000	69.50750
949.0000	73.33560
950.0000	75.43420
951.0000	74.17940
952.0000	70.09030
953.0000	63.86970
954.0000	56.67660
955.0000	49.60230
956.0000	43.40800
957.0000	38.40420
958.0000	33.86580
959.0000	30.21230
960.0000	27.10650
961.0000	24.69990
962.0000	22.61880
963.0000	20.82650
964.0000	19.45350
965.0000	18.25810
966.0000	17.27940
967.0000	16.37180
968.0000	15.63060
969.0000	15.07240
970.0000	14.59530
971.0000	14.18670
972.0000	13.86900
973.0000	13.64000
974.0000	13.47880
975.0000	13.36330
976.0000	13.34190
977.0000	13.35230
978.0000	13.41510
979.0000	13.53340
980.0000	13.68800
981.0000	13.88180
982.0000	14.13830
983.0000	14.42060
984.0000	14.73140
985.0000	15.10960
986.0000	15.51170
987.0000	15.92760
988.0000	16.43090
989.0000	16.92190
990.0000	17.47430
991.0000	18.09440
992.0000	18.68380
993.0000	19.34650
994.0000	20.00290
995.0000	20.80720
996.0000	21.59260
997.0000	22.36170
998.0000	23.11100
999.0000	24.00320
1000.0000	24.78390
1001.0000	25.67480
1002.0000	26.48740
1003.0000	27.45810
1004.0000	28.32590
1005.0000	29.24870
1006.0000	30.17600
1007.0000	31.08510
1008.0000	32.10390
1009.0000	33.12540
1010.0000	34.19660
1011.0000	35.27340
1012.0000	36.44090
1013.0000	37.71910
1014.0000	38.98570
1015.0000	40.39830
1016.0000	41.85340
1017.0000	43.48600
1018.0000	45.23960
1019.0000	47.06990
1020.0000	48.97580
1021.0000	51.04970
1022.0000	53.38340
1023.0000	55.73390
1024.0000	58.19310
1025.0000	60.82970
1026.0000	63.65240
1027.0000	66.39690
1028.0000	69.38480
1029.0000	72.33620
1030.0000	75.40610
1031.0000	78.29550
1032.0000	80.85180
1033.0000	83.13190
1034.0000	85.21480
1035.0000	86.42260
1036.0000	87.41470
1037.0000	87.24060
1038.0000	86.27250
1039.0000	84.50360
1040.0000	81.97990
1041.0000	79.75670
1042.0000	76.56350
1043.0000	73.66540
1044.0000	70.32790
1045.0000	67.23410
1046.0000	64.27580
1047.0000	61.60710
1048.0000	59.18360
1049.0000	57.11390
1050.0000	55.17030
1051.0000	53.60030
1052.0000	52.12640
1053.0000	50.96770
1054.0000	50.03490
1055.0000	49.25270
1056.0000	48.61550
1057.0000	48.19740
1058.0000	47.97250
1059.0000	47.87920
1060.0000	48.01470
1061.0000	48.28720
1062.0000	48.69870
1063.0000	49.23960
1064.0000	49.86790
1065.0000	50.79040
1066.0000	51.75910
1067.0000	52.84550
1068.0000	54.15390
1069.0000	55.50280
1070.0000	56.90540
