Typical Measured Spectrum of Semrock FF01-492/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
416.4	0.97935
416.6	0.98044
416.8	0.98007
417.0	0.97887
417.2	0.97963
417.4	0.97973
417.6	0.97861
417.8	0.97947
418.0	0.98026
418.2	0.98039
418.4	0.98106
418.6	0.98233
418.8	0.98198
419.0	0.98204
419.2	0.98213
419.4	0.98266
419.6	0.98268
419.8	0.98306
420.0	0.98265
420.2	0.98182
420.4	0.98241
420.6	0.98213
420.8	0.98167
421.0	0.98218
421.2	0.98107
421.4	0.98271
421.6	0.98278
421.8	0.98391
422.0	0.98141
422.2	0.98355
422.4	0.98473
422.6	0.98456
422.8	0.98472
423.0	0.98604
423.2	0.98451
423.4	0.98565
423.6	0.98432
423.8	0.98263
424.0	0.98231
424.2	0.98066
424.4	0.97839
424.6	0.97695
424.8	0.97501
425.0	0.97436
425.2	0.97338
425.4	0.97414
425.6	0.97557
425.8	0.97571
426.0	0.97733
426.2	0.97997
426.4	0.98128
426.6	0.98383
426.8	0.98524
427.0	0.98698
427.2	0.98794
427.4	0.98812
427.6	0.98751
427.8	0.98609
428.0	0.98481
428.2	0.98243
428.4	0.98119
428.6	0.97715
428.8	0.97571
429.0	0.97379
429.2	0.97247
429.4	0.97227
429.6	0.97273
429.8	0.97232
430.0	0.975
430.2	0.9769
430.4	0.97894
430.6	0.98129
430.8	0.98384
431.0	0.98568
431.2	0.98644
431.4	0.9875
431.6	0.98719
431.8	0.98762
432.0	0.98618
432.2	0.98621
432.4	0.9849
432.6	0.98314
432.8	0.98202
433.0	0.98174
433.2	0.98135
433.4	0.98075
433.6	0.98107
433.8	0.98177
434.0	0.98381
434.2	0.98449
434.4	0.98572
434.6	0.98666
434.8	0.98614
435.0	0.98636
435.2	0.98462
435.4	0.98288
435.6	0.98115
435.8	0.97942
436.0	0.97769
436.2	0.97597
436.4	0.97425
436.6	0.97296
436.8	0.97192
437.0	0.97157
437.2	0.97263
437.4	0.97424
437.6	0.97572
437.8	0.978
438.0	0.98034
438.2	0.9837
438.4	0.98525
438.6	0.98685
438.8	0.9889
439.0	0.98877
439.2	0.98944
439.4	0.98881
439.6	0.9876
439.8	0.98576
440.0	0.98487
440.2	0.98265
440.4	0.98089
440.6	0.98006
440.8	0.97889
441.0	0.97805
441.2	0.97887
441.4	0.97911
441.6	0.98047
441.8	0.9824
442.0	0.98325
442.2	0.98471
442.4	0.98569
442.6	0.98712
442.8	0.98755
443.0	0.98726
443.2	0.98685
443.4	0.98613
443.6	0.98617
443.8	0.98463
444.0	0.98365
444.2	0.98381
444.4	0.98281
444.6	0.98258
444.8	0.98245
445.0	0.98349
445.2	0.98376
445.4	0.98539
445.6	0.9868
445.8	0.98733
446.0	0.98955
446.2	0.99037
446.4	0.99093
446.6	0.99121
446.8	0.99068
447.0	0.99014
447.2	0.98988
447.4	0.98866
447.6	0.98824
447.8	0.98745
448.0	0.98626
448.2	0.98619
448.4	0.98602
448.6	0.98585
448.8	0.98542
449.0	0.98595
449.2	0.98767
449.4	0.98791
449.6	0.98866
449.8	0.98973
450.0	0.99
450.2	0.99026
450.4	0.99025
450.6	0.99007
450.8	0.98921
451.0	0.9885
451.2	0.9871
451.4	0.98613
451.6	0.98432
451.8	0.98418
452.0	0.9824
452.2	0.98271
452.4	0.98274
452.6	0.98291
452.8	0.98336
453.0	0.98443
453.2	0.98529
453.4	0.98646
453.6	0.98677
453.8	0.98817
454.0	0.98817
454.2	0.98753
454.4	0.98765
454.6	0.98706
454.8	0.98601
455.0	0.98487
455.2	0.98358
455.4	0.9822
455.6	0.98127
455.8	0.98059
456.0	0.98041
456.2	0.97926
456.4	0.98014
456.6	0.98065
456.8	0.9823
457.0	0.98389
457.2	0.98501
457.4	0.98712
457.6	0.98871
457.8	0.98986
458.0	0.99098
458.2	0.99165
458.4	0.99177
458.6	0.99162
